CountyName,PrecinctCode,PrecinctName,PrecinctSplitCode,Description,HouseNum,PrefixDirection,Street,StreetType,SuffixDirection,City,State,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ALLEGHENY,1070102,BELLEVUE 01 02,1070102-1,NEW LIFE COMMUNITY CHURCH,45,N,FREMONT,AVE,,PITTSBURGH,PA,15202,,,412766,YES
ALLEGHENY,1070201,BELLEVUE 02 01,1070201-1,BELLEVUE ELEMENTARY SCHOOL,435,,LINCOLN,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1070202,BELLEVUE 02 02,1070202-1,CENTER OF BELLEVUE,2,N,SPRAGUE,ST,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1070301,BELLEVUE 03 01,1070301-1,BELLEVUE BOROUGH COUNCIL CHAMBERS,537,,BAYNE,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1070302,BELLEVUE 03 02,1070302-1,BELLEVUE BOROUGH COUNCIL CHAMBERS,537,,BAYNE,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1080001,BEN AVON 00 01,1080001-1,BEN AVON BORO FIRE STATION 1ST FL,7219,,CHURCH,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1080002,BEN AVON 00 02,1080002-1,BEN AVON BORO FIRE STATION 1ST FL,7219,,CHURCH,AVE,,PITTSBURGH,PA,15202,,,,YES
ALLEGHENY,1090001,BEN AVON HT 00 01,1090001-1,SHANNOPIN COUNTRY CLUB,1,,WINDMERE,RD,,PITTSBURGH,PA,15202,,,4127612900,YES
ALLEGHENY,1100101,BETHEL PARK 01 01,1100101-1,BETHEL PARK COMMUNITY CENTER,5151,,PARK,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100102,BETHEL PARK 01 02,1100102-1,BENJAMIN FRANKLIN SCHOOL GYM,5400,,FLORIDA,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100103,BETHEL PARK 01 03,1100103-1,BENJAMIN FRANKLIN SCHOOL GYM,5400,,FLORIDA,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100201,BETHEL PARK 02 01,1100201-1,BETHEL PARK VOLUNTEER FIRE CO-CLIFTON STATION,1100,,CLIFTON,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100202,BETHEL PARK 02 02,1100202-1,NEIL ARMSTRONG 5/6 MIDDLE SCHOOL,5800,,MURRAY,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100203,BETHEL PARK 02 03,1100203-1,NEIL ARMSTRONG 5/6 MIDDLE SCHOOL,5800,,MURRAY,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100301,BETHEL PARK 03 01,1100301-1,GEORGE WASHINGTON ELEMENTARY GYM,515,,CLIFTON,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100302,BETHEL PARK 03 02,1100302-1,RUTHFRED LUTHERAN CHURCH,3401,,SOUTH PARK,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100303,BETHEL PARK 03 03,1100303-1,JOHN MCMILLAN PRESBYTERIAN CHURCH,875,,CLIFTON,RD,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100401,BETHEL PARK 04 01,1100401-1,HAMILTON PRESBYTERIAN CHURCH,4500,,HAMILTON,RD,,BETHEL PARK,PA,15236,,,,YES
ALLEGHENY,1100402,BETHEL PARK 04 02,1100402-1,BETHEL PARK COMMUNITY CENTER RM A,5151,,PARK,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100403,BETHEL PARK 04 03,1100403-1,BETHEL PARK COMMUNITY CENTER 1ST FL,5151,,PARK,AVE,,BETHEL PARK,PA,15102,,,,YES
ALLEGHENY,1100501,BETHEL PARK 05 01,1100501-1,ABRAHAM LINCOLN ELEMENTARY,1524,,HAMILTON,RD,,BETHEL PARK,PA,15234,,,,YES
ALLEGHENY,1100502,BETHEL PARK 05 02,1100502-1,BETHEL PARK VOLUNTEER FIRE CO-MILFORD STATION,2310,,MILFORD,DR,,BETHEL PARK,PA,15102,,,,YES
