_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8294,-79.8386651119999,40.5230328280001,110,0,98,Oakmont Borough Building,,206 Fifth & Virginia Ave,Oakmont,15139,,845
8295,-79.786533183,40.4918155610001,111,0,43,PW - Dx 3,PW-3,500 Railroad St,Pittsburgh,15235,Allegheny County,
8296,-80.094061956,40.4261852660001,112,0,103,Rosslyn Farms Borough Building,,421 Kings Hwy,Carnegie,15106,,850
8297,-79.9657054749999,40.472243426,113,0,46,PW - Dx 7,PW-7,40th and Willow Sts,Pittsburgh,15201,Allegheny County,
8298,-79.793212345,40.3937258830001,114,0,114,Wall Borough Building,,412 Wall Ave,Wilmerding,15148,,861
8299,-79.9959715529999,40.4379662910001,115,0,30,Allegheny County Jail Annex,JA,Fourth Ave & Ross St,Pittsburgh,15219,Allegheny County,
8300,-80.089783105,40.407694904,116,0,42,PW - Dx 2,PW-2,1040 Campbells Run Rd,Pittsburgh,15106,Allegheny County,
8301,-80.0547197819999,40.4566752420001,117,0,43,Sheraden Residence And Service Building,B039,Thornton St,Pittsburgh,15205,City of Pittsburgh,100
8302,-79.907268844,40.3584786060001,118,0,47,PW - Dx 8,PW-8,1305 Pgh McKeesport Blvd,West Mifflin,15122,Allegheny County,
8303,-80.0412991539999,40.4393748850001,119,0,19,Herschel Radio Tower,B157,801 Herschel St,Pittsburgh,15220,City of Pittsburgh,100
8304,-79.997806425,40.4307483100001,120,0,54,PW - Southside Garage,PW-SSG,215 McKean St,Pittsburgh,15219,Allegheny County,
8305,-79.834877519,40.400407574,121,0,75,East Pittsburgh Borough Building,,813 Linden Ave,East Pittsburgh,15112,,822
8306,-80.030617061,40.454008749,122,0,56,Records Center,RCW,1441 Metropolitan St,Pittsburgh,15233,Allegheny County,
8307,-80.211227155,40.5671925450001,123,0,89,Leetsdale Borough,,85 Broad St,Leetsdale,15056,,836
8308,-80.000359568,40.440419838,124,0,60,Wood Street Commons,DHS-WSC,304 Wood St,Pittsburgh,15222,Allegheny County,
8309,-80.0713673239999,40.5107905200001,125,0,28,Ben Avon Heights Borough Building,,9 Biddeford Rd,Pittsburgh,15202,,805
8310,-79.9577168069999,40.4653555690001,126,0,1,ACHD-Arsenal Health Center,ACHD-Ars,40th St & Penn Ave,Pittsburgh,15201,Allegheny County,
8311,-79.805884383,40.384872075,127,0,74,East McKeesport Borough Building,,907 Florence Ave,East McKeesport,15035,,821
8312,-79.9619328589999,40.4377854690001,128,0,4,ACHD-Health Department,ACHD,3333 Forbes Ave,Pittsburgh,15213,Allegheny County,
8313,-79.932442387,40.2966896030001,129,0,6,Jefferson Hills Borough Building,,925 Old Clairton Rd,Clairton,15025,,878
8314,-79.959871133,40.4393256980001,130,0,6,ACHD-Medical Clinic Building,ACHD-MED,3441 Forbes Ave,Pittsburgh,15213,Allegheny County,
