OBJECTID,PERMANENT_IDENTIFIER,SOURCE_FEATUREID,SOURCE_DATASETID,SOURCE_DATADESC,SOURCE_ORIGINATOR,Data_Security,Distribution_Policy,LOADDATE,FType,FCode,NAME,IsLandmark,PointLocationType,AdminType,ADDRESSBUILDINGNAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID,FOOT_ID,COMPLEX_ID,GLOBALID,x,y
843528,{DDC4DE14-B340-4EFF-94B8-7B6619C70CA0},428049107094,034da6f8-974f-4648-9aae-91ddba97ce1c,730 TNMC Update 8/1/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/1/2017 5:18:33 PM,730,73007,Northumberland County Career and Technology Center,2,1,0,,1700 West Montgomery Street,Coal Township,PA,17866,, , ,9bb28968-1b11-4d41-8ff7-cc2e6f923912,-76.579643249136,40.7807769781983
843641,{626620ED-DD5C-43D2-A725-C5AA6A3E63C6},280453001096,d43cadc3-5224-492d-bdda-e2ea3d0be455,730 TNMC Update 5/26/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,5/26/2020 12:21:56 AM,730,73007,Wayne County Career and Technical Center,2,1,,,100 Collins Street,Waynesboro,MS,39367,, , ,ddece05b-461d-446e-a54a-40b902f64300,-88.6389830004791,31.6807390000572
843797,{FD4FA548-BC91-4CD5-BE72-F3D31A352E53},280102000082,30fa3dbd-8f4f-4b6b-84eb-7d2ad13285af,730 TNMC Update 5/7/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,5/7/2020 1:45:18 AM,730,73007,Claiborne County Career and Technical Education Center,2,1,,,159 Old Highway 18 Number 1,Port Gibson,MS,39150,, , ,5b5e6319-7abe-4509-ac95-64c30af1994d,-90.9483799993776,31.96392400013
844417,{54CD458F-3B4D-48F7-A4FA-A4AB22338D10},280231000454,4c900631-d284-44f1-8590-cc77b893c97f,730 TNMC Update 5/1/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,5/1/2020 3:29:48 PM,730,73007,John C Stennis Vocational School,2,1,,,16 Philadelphia Road,Dekalb,MS,39328,, , ,798b15c2-467f-46f5-b087-6cf0c2b3ef33,-88.6690449994416,32.7758550005959
844521,{2C19D615-8434-4C28-AA05-BDD93386CBC2},010195000941,925061b3-6409-4104-bf7c-4ad53f189269,730 TNMC Update 7/16/2019,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,7/16/2019 7:48:28 PM,730,73007,Lamar County School - Technology,2,1,0,,43880 State Highway 17,Vernon,AL,35592,, , ,a67896cb-efd5-4f67-84ad-a8fc67e529cc,-88.1096920006537,33.7457159991506
844647,{A7052152-5C1A-4DE4-A643-1592DC6D5C09},120087004161,5607768f-2936-4b1c-9e79-449a9125505f,730 TNMC Update 1/3/2023,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,1/3/2023 12:25:55 PM,730,73007,Aparicio - Levy Technical College,2,1,,,10119 East Ellicott Street,Tampa,FL,33610,, , ,5007332a-32ac-4e1d-a6ba-e0335bbe93c2,-82.3323360001799,27.9905910006521
844751,{F484EC61-A864-40A1-AB5D-787E17E418AB},450270001267,d9ed155c-9f9f-4a58-a6f9-9bd128a0f9e2,730 TNMC Update 3/19/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,3/19/2020 1:44:34 PM,730,73007,Rosenwald Community Learning Center,2,1,,,420 Hendrix Street,Lexington,SC,29072,, , ,826b08bd-5ac9-46bb-a2d7-614d335cf0a2,-81.2470389993987,33.9829149999219
845050,{6443F5FC-885D-4838-AD4E-CBA52EAFF584},290003002887,39d072cf-031d-4305-b4c9-daaf715bf9f8,730 TNMC Update 12/27/2020,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,12/27/2020 7:42:32 PM,730,73007,Womens Eastern Reception Diagnostic and Correctional Center,2,1,,,1101 East US Highway 54,Vandalia,MO,63382,, , ,b7412874-5f41-41a1-b047-d4c5f95d525f,-91.47688400079,39.3179889993767
845893,{8BD33863-26E1-4FB1-ACBF-AEA0065ED2C2},290000202400,4ba5c5c9-1763-4605-94f8-9aa6221fd42f,730 TNMC Update 10/7/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,10/7/2017 6:57:31 PM,730,73007,North Central Career Center,2,1,,,1401 Daily Road,Bethany,MO,64424-7205,, , ,93b83ef5-1990-42c1-9896-d8ae29a6d98a,-94.0140609747394,40.2820434570719
846119,{F3A976B1-536A-4578-8123-D62FEC37C9E5},428062007103,034da6f8-974f-4648-9aae-91ddba97ce1c,730 TNMC Update 8/1/2017,"Oak Ridge National Laboratory, Geographic Information Sciences and Technology Group",5,E4,8/1/2017 5:11:05 PM,730,73007,Schuylkill Technology Center - North Campus,2,1,0,,101 Technology Drive,Frackville,PA,17931,, , ,878b0bef-9d32-4209-9d1d-d7b7c59ff432,-76.2301025386773,40.7757453913011
